ID,TIF DISTRICT,PROJECT NAME,ADDRESS,DEVELOPER,PROJECT ID,PROJECT DESCRIPTION,CDC DATE,APPROVED AMOUNT,TOTAL PROJECT COST,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION
1669,Wilson Yard,Hazel Winthrop Apts,4509 N Hazel St,Community Housing Partners XV L.P.; Chicago Community Development Corp.; et Voice of the People,1058,"Located in the Uptown community, the project includes acquisition and rehabilitation of four buildings containing 30 multi-family affordable units.  The rehabilitation will include new roofs, windows, kitchens, and upgrades to existing HVAC systems.  The project will also include building amenities such as family activities center and exercise room.",01/11/2011,$2425000,$11987400,1169488.854057235,1930192.797246549,41.963959072,-87.652224901,"(41.96395907248526, -87.65222490119726)"
1383,Central Loop,201 N Wells,201 N Wells St,201 North Wells Investors L.L.C,235,"Located in the Loop, the project includes rehabilitation and renovation of a previous office building as a 293 rental apartments with 20% affordable units, and renovate the exterior and lobby.  The project will also include 5,600 square feet of retail space and 8,200 square feet of office/commercial space.",04/13/1999,$7000000,$40602000,1174736.658530914,1901736.843515428,41.88575873,-87.63378405,"(41.885758730147366, -87.63378404961261)"
1591,Diversey/Narragansett,IGA - CPD - Park 0123 - Riis,6100 W Fullerton Av,Chicago Park District,840,The project includes costs associated with the construction of an artificial turf soccer/football field.,06/09/2010,$1000000,$1115671,1135319.241881446,1915347.177780261,41.923897722,-87.778210979,"(41.92389772168645, -87.77821097882003)"
1807,35th/State,IIT / Townsend Development,3440 S Dearborn St,"Townsend Chicago, LLC",19,"The project consists of a 126,000 square feet rehabilitation of office/institutional space into flexible research/office space, used to house tech business incubators.  The building is in the former Chemical Research Building on  IIT campus.",06/14/2005,$13400000,$13400000,1176492.71686362,1882013.261342546,41.831596425,-87.627930577,"(41.831596425369504, -87.62793057725152)"
500448,Woodlawn,Harris Park,6200 S Drexel Av,Chicago Park District,,"The Park District is requesting  $2,000,851 from the Woodlawn TIF for HVAC replacement and energy savings to the Harris Park fieldhouse.    The new heating and cooling systems will be integrated into the Park District-s web-based building automated system, and is part of the District-s district wide $20M energy savings program.",01/17/2013,$1000425,$2000850,1183033.207828521,1864056.325682762,41.782171303,-87.6044919,"(41.782171303083885, -87.60449189994588)"
1484,Northwest Industrial Corridor,IGA - CPD - Park 0132 - Greenbaum,4300 W Wabansia Av,Chicago Park District,595,Intergovernmental Agreement between the City of Chicago and the Chicago Park District,06/30/2010,$1987000,$2525793,1147443.367658861,1910990.926146446,41.911719724,-87.733773572,"(41.91171972391584, -87.73377357227282)"
1321,West Ridge Peterson,Target - Peterson Ave,2112 W Peterson Av,Target Corp.,133,"Located in the Edgewater community, the project includes construction of a 160,000 square feet Target store with 503 parking spaces on the ground level.  The developer will design and construct the building in a manner that will allow it to receive LEED certification and construct a green roof that covers 50% of the net roof area.",02/08/2005,$4600000,$40448695,1161050.535488298,1939882.981762516,41.990729218,-87.682979454,"(41.99072921796059, -87.68297945359863)"
1247,River West,Jewel - Kinzie DesPlaines,360 N Desplaines St,"Jewel Foods Stores, Inc.",23,"The project includes the construction of a 66,000 square foot two level grocery store.  The 2.6 acre site will also include 159 stall parking deck which will be located over the Metra tracks.",03/08/2005,$4000000,$19200000,1171818.554348968,1902751.881406392,41.888608836,-87.644469913,"(41.88860883564999, -87.64446991272595)"
1650,Clark/Montrose,IGA - CPD - Park 0103 - Chase,4701 N Ashland Av,Chicago Park District,1034,"Site preparation for the installation of a new
playground, installation of equipment and playground surfaces, path and landscaping
improvements, and field house fitness improvements.",05/12/2009,$300000,$655000,1164849.038208312,1931317.833379557,41.967146157,-87.669251951,"(41.96714615669716, -87.66925195138536)"
1501,Chicago/Central Park,Breakthrough Urban Ministries,402 N Saint Louis Av,Breakthrough Urban Ministries,618,"Breakthrough Urban Ministries is a non-profit organization that assists people struggling with drug addiction.  The project includes the rehabilitation of a 24,000 square foot warehouse to have a thirty bed shelter for men, five Single Room Occupancy units, developer's offices, social services facilities, communal kitchen, a food pantry and employment training space.",04/10/2007,$1153961,$4999829,1152937.526179093,1902548.883151193,41.88844679,-87.713813542,"(41.88844678963916, -87.71381354158703)"
1627,Central West,IGA - CPD - Park 0542 - Sangamon Adams II,115 S Sangamon St,Chicago Park District,958,Agreement between City of Chicago and the Chicago Park Distrct,03/18/2009,$6220000,$7030000,1170157.800412206,1899582.21502017,41.879947477,-87.650661368,"(41.87994747663601, -87.65066136833414)"
1555,119th/I-57,Marshfield Plaza,11730 S Marshfield Av,"Primestor 119, LLC",760,"Located in the Morgan Park community, the project includes construction and rehabilitation of 415,000 square feet retail shopping center.  The retail shopping center includes two anchor stores, three junior anchors, five outlots, and 1,700 parking spaces.",12/13/2005,$26600000,$120773223,1167478.161990797,1826818.27019306,41.680332205,-87.662584679,"(41.680332205334544, -87.66258467873885)"
1390,Central Loop,Mentor Bldg,6 E Monroe St,"Mentor Building, L.L.C.",248,"Located in the Loop, the project includes rehabilitation and renovation of an existing office building as residential, retail, and office space.  The building will include the first two floors as retail space, 40-50 condominiums, office space, and fitness center on remaining floors.The project also restores the building's facade.",06/22/1999,$2500000,$11506161,1176457.480151964,1899972.312339035,41.880878091,-87.627518203,"(41.88087809052511, -87.62751820292168)"
1558,LaSalle Central,MillerCoors,250 S Wacker Dr,MillerCoors LLC,768,"The project assisted in relocation of the corporate headquarters.   MillerCoors leased approximately 129,000 square feet of commercial office space.  The project includes build-out of tenant space, exterior roof line signage, and exterior facade sign.",03/10/2009,$5775000,$21500000,1173865.784686848,1898952.655000051,41.878138181,-87.637064995,"(41.87813818115573, -87.63706499520218)"
1575,Peterson/Pulaski,CCH,4025 W Peterson Av,CCH Inc.,800,"Located in the North Park community, CCH will renovate and modernize a 220,000 square foot industrial building.  The project includes roof repairs and installation of a LEED reflective roofing system, installation of sprinkler system, updating electrical and plumbing, upgrading IT systems, asbestos abatement, new windows and doors, installation of new generator, and improvements of surface parking lot.",03/10/2009,$5000000,$21253113,1148373.990774476,1939529.426525862,41.990013734,-87.729616199,"(41.99001373389059, -87.72961619868047)"
1751,Lawrence/Kedzie,IGA - PBC - Albany Park Library,5150 N Kimball Av,Public Building Commission,2084,An intergovernmental agreement between the City of Chicago and the Public Building Commission,11/02/2011,$15000000,$15345000,1152738.715607592,1934228.175283259,41.975381251,-87.71370286,"(41.975381250634605, -87.71370286008175)"
1278,Central Loop,Sears - One North Dearborn,1 N Dearborn St,1 North Dearborn Trust,68,"Located in the Loop, the project includes the renovation of 243,000 square feet for a full-line Sears Department store to be located on the lower level and the first four floors of the 17-story building.",09/02/1999,$13515833,$127397000,1175980.676683144,1900388.108593045,41.882029806,-87.629256444,"(41.88202980644916, -87.62925644446256)"
1777,Portage Park,IGA - CPD - Park 0147 - Portage - I - Playground,4100 N Long Av,Chicago Park District,2133,"Improvements for the Project include the following: pathway, lighting,
playground, and other field house and site improvements.",06/09/2009,$1000000,$1000000,1139577.656306665,1926748.675784614,41.955107868,-87.762284581,"(41.9551078676731, -87.76228458139845)"
1642,Madison/Austin Corridor,IGA - CBE - HS - Austin - II,231 N Pine Av,Chicago Board of Education,1024,"The renovation of existing schools includes ADA upgrades, science lab upgrades, building
envelope and interior finish work, exterior and landscape improvements in order to bring the
school facilities up to the latest Board renovation standards.",05/12/2010,$5570000,$37575847,1139494.762899882,1901274.258237172,41.88520477,-87.763211911,"(41.88520477035911, -87.76321191112676)"
1586,Hollywood/Sheridan,IGA - PBC - Edgewater Library,6000 N Broadway,Public Building Commission,816,An intergovernmental agreement between the City of Chicago and the Public Building Commission,07/28/2011,$1125000,$12054193,1167176.574126726,1940014.135742834,41.990959238,-87.660442745,"(41.99095923823291, -87.660442745415)"
500467,47th/Halsted,Lowe Park,5203 S Lowe Av,Chicago Park District,,An Intergovernmental Agreement Between the City of Chicago and the Chicago Park District,10/03/2012,$550000,$550000,1172887.572084787,1870354.415311236,41.799683905,-87.64150252,"(41.79968390464737, -87.64150251982599)"
1059,Western/Ogden,Chicago Children's Advocacy Center,1240 S Damen Av,Public Building Commission,2249,"An intergovernmental Agreement with the Public Building Commission and the City of Chicago in order to provide $9 million in TIF funds from the Western/Iogden TIF for the construction of an addition to the existing City-owned Chicago Children's Advocacy Center.  The approximately 16,500 s.f. addition will provide additional therapy spaces, conference rooms, enhanced family spaces, enlarged child life room with appropriate adolescent space, offices , storage and a training area.",10/03/2012,$9000000,$9500000,1163200.564762796,1894246.991366993,41.865456169,-87.67635732,"(41.86545616852481, -87.67635731986977)"
1442,Western Avenue South,N. Center Sr. - Belle Plaine Condo,2335 W Belle Plaine Av,North Center Associates LLC,362,"Located in the North Center community, the project includes the construction of a 141,000 square foot five-story senior condominium building.  The project provides a minimum of 50 affordable housing units for senior households earning no more than 80% area median income and the remaining 47 units will be priced below market rate.  The senior condominium building includes a community room, exercise room, library, and 112 parking spaces.",05/09/2006,$3380000,$27465722,1159911.601853147,1927126.641619041,41.955748886,-87.687522433,"(41.95574888626088, -87.68752243256986)"
1665,Pershing/King,P G Stewart - Bronzeville Family Apts - I,400 E 41st St,Bronzeville Associates Senior Apartments L.P.,1052,"The project will demolish 60 Paul G. Steward complex townhomes and the community center, and will replace with 3 four-story buildings and a new community center.  Phase II for the project will include construction of 24 rental units.",10/12/2010,$2500000,$27336391,1179638.248341821,1877940.683098296,41.8203495,-87.616514109,"(41.82034950030901, -87.61651410947175)"
500242,Stony Island Commercial/Burnside Industrial,Dixon Park (4007),8701 S Dauphin Av,Chicago Park District,,"Lorraine Dixon Park is located at 8701 S Dauphin Street. 
 
Alderman Harris is requesting $1M from the Stony Island TIF for improvements to this park, which include a new park entry / garden, path improvements, and playground replacement to meet current Park District standards.    
 
Total cost of the project is $1M.   (Reimburse at $200k per year for 5 years) 
 
Uses Budget: 
Park entry plaza with gardens            $120,000 
Walkways, landscaping, lighting         $230,000 
New playground and spray feature    $440,000 
Survey and permits                              $10,000 
General construction                          $100,000 
Design                                                    $100,000 
Total =                                                   $1,000,000 
 
This project is identified in the 2012 - 2016 Park District Capital Improvement Plan.",12/31/2013,$350000,$725000,1184114.065616973,1847472.338129763,41.736637992,-87.601046799,"(41.73663799170645, -87.60104679870054)"
1678,Pilsen Industrial Corridor,IGA - CPD - Park 0531 - Palmisano,2850 S Halsted St,Chicago Park District,1070,An intergovernmental agreement between the City of Chicago and the Chicago Park District,03/06/2012,$1000000,$1000000,1171394.845460921,1885773.008253753,41.842026854,-87.646524755,"(41.84202685411012, -87.6465247548277)"
1481,Stony Island Commercial/Burnside Industrial,IGA - CPD - Park 0237 - Jesse Owens,2100 E 88th St,Chicago Park District,590,An intergovernmental agreement between the City of Chicago and the Chicago Park District,12/01/2009,$1650000,$8600000,1191720.195356246,1847078.482400383,41.735376241,-87.57319359,"(41.735376241325746, -87.57319358968668)"
1649,Kinzie Industrial Corridor,IGA - CBE - Beidler School Park,3151 W Walnut St,Chicago Board of Education,1033,"The Beidler School Campus Park project will construct a new 1-acre park within the East Garfield Park community area. Development plans include new playground areas, open lawn area for free play, walking paths, seating, lighting, paving of the alley between the park and the school for outdoor assembly space, fencing, and landscaping.",05/27/2011,$1000000,$2211500,1155122.86195431,1901415.831822473,41.885294011,-87.705818593,"(41.88529401072774, -87.70581859311523)"
1462,47th/Ashland,Park Federal Savings Bank,1821 W 47th St,Park Federal Savings Bank,414,The project will include construction of a 2-story bank including a drive up with parking and ATMs.  The building will have a green roof of 50% of the net roof area.,12/13/2005,$850000,$5002670,1164874.946864276,1873481.813465148,41.808439065,-87.670798586,"(41.80843906490185, -87.67079858618521)"
10637,24th/Michigan,IGA - PBC - Library - Chinatown,2101 S Archer Av,Public Building Commission,,Acquisition and construction of the new library at 2101-15 S. Archer,04/25/2013,$15600000,$15946153,1175347.057846964,1890222.745669939,41.854149626,-87.63188807,"(41.85414962645593, -87.63188807020713)"
1538,Madden/Wells,Madden Wells - 2-A - Rental,3900 S Cottage Grove Av,Oakwood Shores Phase 2A Associates L.P.,702,The project includes construction of 199 rental units in 14 buildings.   The units include 57 market rate units and 142 affordable units at or below 60% area median income.  81 of the affordable units replaced public housing.,07/10/2007,$2900000,$57569913,1182215.663325961,1879256.575324525,41.823901011,-87.60701829,"(41.823901010742176, -87.60701828995683)"
500254,Chicago/Kingsbury,Ward Park (4524),630 N Kingsbury St,Chicago Park District,,An intergovernmental agreement between the City of Chicago and the Chicago Park District,09/11/2013,$750000,$750000,1172680.194237949,1904364.523642393,41.893014998,-87.641257914,"(41.89301499813241, -87.64125791389212)"
10738,LaSalle Central,IGA - CTA - Quincy Loop Station,220 S Wells St,Chicago Transit Authority,,An intergovernmental agreement between the City of Chicago and the Chicago Transit Authority,12/11/2013,$15700000,$15700000,1174727.210659565,1899161.594544073,41.878692304,-87.633895818,"(41.87869230406452, -87.63389581764326)"
1667,47th/King Drive,Educare Family Center,5044 S Wabash Av,Ounce of Prevention Fund,1055,"Ounce of Prevention's Educare Family Center is located on a Chicago Public School property in the Grand Boulevard community.  The project expanded the one-story 24,000 square foot building that houses a total of 13 classrooms, a training room, offices, an industrial kitchen, a secure entrance.  The addition will house a Family Activity and Resource Center, private family consultation and meeting space, a teacher resource center, a state of the art training facility, and administrative space.",08/10/2010,$400000,$2656975,1177533.621827742,1871403.107782004,41.802457738,-87.624432595,"(41.8024577384093, -87.62443259498743)"
1058,24th/Michigan,Broad Shoulders Brewery,2337 S Michigan Av,BSB Holdings LLC,2246,"Located in the Near South Side community, Broad Shoulders Brewery is rehabilitating a three story building into a 5,130 square foot micro-brewery/tasting room and 3,716 square foot office space.  Work includes interior improvements and historically sensitive exterior restoration.",08/14/2012,$628000,$3140000,1177621.248938479,1888730.928508031,41.850004696,-87.623586244,"(41.85000469552829, -87.62358624366739)"
10728,Calumet Cermak,IGA - MPEA - Cermak Road Streetscape Project,350 E Cermak Rd,Metropolitan Pier and Exposition Authority,,Intergovernmental agreement with Metropolitan Pier and Exposition Authority for provision of Tax Increment Financing (TIF) assistance for Cermak Road Streetscape Project,06/05/2013,$360000,$360000,1178964.313672544,1889876.680981523,41.853118149,-87.618622047,"(41.85311814898232, -87.61862204741678)"
1564,Central Loop,IGA - CPD - Park 0541 - Pritzker,344 S State St,Chicago Park District,779,"Located in the Loop, the Chicago Park District built a public park at State St. and Van Buren St., and completed environmental remediation for the site.",02/07/2007,$1400000,$1400000,1176390.73965502,1898604.13129871,41.877125229,-87.627804565,"(41.8771252285041, -87.62780456498845)"
500251,Lawrence/Pulaski,Eugene Field Park (4314),5125 N Pulaski Rd,Chicago Park District,,An intergovernmental agreement between the City of Chicago and the Chicago Park District,06/26/2013,$345000,$345000,1148838.432085985,1933855.615461851,41.97443544,-87.728055356,"(41.97443543984304, -87.7280553564333)"
1287,Canal/Congress,550 W. Jackson,550 W Jackson Bv,"550 Jackson Associates, LLC",80,"The project rehabilitates and expands an existing 100,000 square feet, 4-story building into a 407,000 square feet, 18-story office building that is aimed at technology companies.  The project will also include 250 parking spaces.",02/29/2000,$7500000,$79440032,1172634.738308871,1898940.381498952,41.878131818,-87.641585436,"(41.878131817732296, -87.64158543637204)"
1362,River West,Metra Market,117 N Clinton St,"MetraMarket of Chicago, L.L.C., and Ogilive Transit Center Investor, Inc.",199,"The project includes rehabilitation of  approximately 200,000 square feet of retail shopping center.  Within the space, there will be restaurants, retail, a fresh food market, and 100 parking spaces.",03/08/2005,$12000000,$43649000,1172749.080797811,1900987.419103311,41.883746492,-87.641104976,"(41.88374649180804, -87.64110497582169)"
1600,Kinzie Industrial Corridor,Greater West Town Training Econ Dev Center,500 N Sacramento Bv,"Greater West Town Community Development Project and GWT SPE, LLC",884,"The Greater West Town Center project is located in the Kinzie Industrial Corridor TIF District. The project consist of the development of a 60,000 square foot training center and 31 parking spaces for about 200 students.",11/18/2008,$3100000,$10232111,1156122.513256905,1903438.008534668,41.890822938,-87.702093055,"(41.89082293831988, -87.70209305462659)"
1759,Western Avenue South,IGA - CPD - Park 0457 - Richard Clark II - Baseball Stadium,3400 N Rockwell St,Chicago Park District,2112,An intergovernmental agreement between the City of Chicago and the Chicago Park District,05/09/2012,$1250000,$5200000,1158226.523075392,1922486.97700569,41.943052041,-87.693844427,"(41.94305204108928, -87.69384442695068)"
500276,63rd/Ashland,Lindblom Park (4565),6054 S Damen Av,Chicago Park District,,An intergovernmental agreement between the City of Chicago and the Chicago Park District,10/16/2013,$2000000,$2000000,1164030.761645841,1864272.127830504,41.78318436,-87.674153891,"(41.78318436039833, -87.6741538913553)"
1256,Canal/Congress,Union Station Health Club,444 W Jackson Bv,"UNION STATION REDEVELOPMENT, L.L.C.,",44,"Located in the Loop, the project includes rehabilitation and renovation of 68,000 square foot building.  The complete interior demotion of the project will rehabilitate the building as a 60,500 square feet fitness center and 7,500 square feet medical and wellness center to be operated by Rush Presbyterian St. Luke's Medical Center or an affiliate or other operator.  The project also consists of retail on the main floor, outdoor riverfront seating, and public improvements.",02/29/2000,$2200000,$13800000,1173202.61388611,1898953.550966654,41.878155377,-87.639499956,"(41.87815537704807, -87.63949995628163)"
1672,Central West,IGA - CPD - Park 0210 - Union,1501 W Randolph St,Chicago Park District,1064,An intergovernmental agreement between the City of Chicago and the Chicago Park District,11/16/2011,$700000,$700000,1166435.073827519,1901288.930360344,41.88471128,-87.664281826,"(41.88471127972956, -87.66428182609859)"
1458,35th/State,Stateway Gardens - Phase 2 - Park Blvd - II-B,3633 S State St,"Stateway Associates, LLC",400,The Stateway Gardens Phase II project is located in the 35th/State TIF District. The project of the Chicago Housing Authority consists of the construction of four buildings containing 108 rental apartment units.  71 units will be affordable.,05/08/2012,$5000000,$41031100,1176929.887869034,1880943.185573479,41.828650189,-87.626358879,"(41.82865018931944, -87.62635887938379)"
